"año";"jurisdicción";"unidad";"superficie_total_incendiada";"superficie_afectada_por_incendios_bosque_nativo"
"2002";"Chubut";"hectáreas";"7640.76";"155.66"
"2002";"Córdoba";"hectáreas";"104773";"25734"
"2002";"Corrientes";"hectáreas";"4025";"1046"
"2002";"Entre Ríos";"hectáreas";"496";"236"
"2002";"Formosa";"hectáreas";"9687";"4"
"2002";"Jujuy";"hectáreas";"139.5";"14"
"2002";"La Pampa";"hectáreas";"985793";"304458"
"2002";"La Rioja";"hectáreas";"78422";"40447"
"2002";"Mendoza";"hectáreas";"333429.5";"90001.91"
"2002";"Misiones";"hectáreas";"575.23";"49.3"
"2002";"Neuquén";"hectáreas";"8440.09";"939.98"
"2002";"Río Negro";"hectáreas";"333616.78";"80875.63"
"2002";"Salta";"hectáreas";"36516";"9682"
"2002";"San Juan";"hectáreas";"984";"14.25"
"2002";"San Luis";"hectáreas";"178112";"178102"
"2002";"Santa Cruz";"hectáreas";"9865";"4022"
"2002";"Santa Fe";"hectáreas";"2544.75";"428.77"
"2002";"Santiago del Estero";"hectáreas";"8017.7";"5774.2"
"2002";"Tierra del Fuego";"hectáreas";"23.12";"19.04"
"2002";"Tucumán";"hectáreas";"1048.5";"85"
"2003";"Buenos Aires";"hectáreas";"569735.82";"19535.65"
"2003";"Catamarca";"hectáreas";"11080";"6880"
"2003";"Chaco";"hectáreas";"16978.4";"1549"
"2003";"Chubut";"hectáreas";"44659.45";"41.15"
"2003";"Ciudad Autónoma de Buenos Aires";"hectáreas";"14";" -   "
"2003";"Córdoba";"hectáreas";"127545";"51474"
"2003";"Corrientes";"hectáreas";"2132";"1109"
"2003";"Entre Ríos";"hectáreas";"1381";"399.5"
"2003";"Formosa";"hectáreas";"7585.6";"401.6"
"2003";"Jujuy";"hectáreas";"258.8";"19.5"
"2003";"La Pampa";"hectáreas";"853921";"418363"
"2003";"La Rioja";"hectáreas";"125968";"99233"
"2003";"Mendoza";"hectáreas";"612387.4";"115423.1"
"2003";"Misiones";"hectáreas";"4381.07";"4.5"
"2003";"Neuquén";"hectáreas";"17908.22";"110.66"
"2003";"Río Negro";"hectáreas";"448243.66";"48349.95"
"2003";"Salta";"hectáreas";"54857";"10660"
"2003";"San Juan";"hectáreas";"2658.5";" -   "
"2003";"San Luis";"hectáreas";"217720";"217720"
"2003";"Santa Cruz";"hectáreas";"15494.25";"10145"
"2003";"Santa Fe";"hectáreas";"4421";"1255.5"
"2003";"Santiago del Estero";"hectáreas";"3474.1";"1933"
"2003";"Tierra del Fuego";"hectáreas";"0.31";"0.23"
"2003";"Tucumán";"hectáreas";"3563";"351"
"2004";"Buenos Aires";"hectáreas";"23706.41";"1537.9"
"2004";"Catamarca";"hectáreas";"2174.5";"1"
"2004";"Chaco";"hectáreas";"5257.4";"427.5"
"2004";"Chubut";"hectáreas";"2459.11";"637.25"
"2004";"Ciudad Autónoma de Buenos Aires";"hectáreas";"45";"0.25"
"2004";"Córdoba";"hectáreas";"11473";"4600"
"2004";"Corrientes";"hectáreas";"5159";" -   "
"2004";"Entre Ríos";"hectáreas";"4133.12";"634.9"
"2004";"Formosa";"hectáreas";"2095";" -   "
"2004";"Jujuy";"hectáreas";"9796";"1171"
"2004";"La Pampa";"hectáreas";"239677.85";"17875"
"2004";"La Rioja";"hectáreas";"18231";"9400"
"2004";"Mendoza";"hectáreas";"59759";"15766"
"2004";"Misiones";"hectáreas";"2416.85";"15"
"2004";"Neuquén";"hectáreas";"25379.84";"422.28"
"2004";"Río Negro";"hectáreas";"40424.77";"6287.66"
"2004";"Salta";"hectáreas";"64675";"11363"
"2004";"San Juan";"hectáreas";"855.5";" -   "
"2004";"Santa Cruz";"hectáreas";"6450.75";"142.25"
"2004";"Santa Fe";"hectáreas";"27430";"1378"
"2004";"Santiago del Estero";"hectáreas";"7180";"4300"
"2004";"Tierra del Fuego";"hectáreas";"25.7";"21.03"
"2004";"Tucumán";"hectáreas";"968.2";"104.4"
"2005";"Buenos Aires";"hectáreas";"39798.59";"4170.82"
"2005";"Catamarca";"hectáreas";"31057.5";" -   "
"2005";"Chaco";"hectáreas";"5143.26";"335"
"2005";"Chubut";"hectáreas";"5392.07";"998.77"
"2005";"Ciudad Autónoma de Buenos Aires";"hectáreas";"28";" -   "
"2005";"Córdoba";"hectáreas";"16910";"3866"
"2005";"Corrientes";"hectáreas";"56594.9";" -   "
"2005";"Entre Ríos";"hectáreas";"2713.9";"145.7"
"2005";"Formosa";"hectáreas";"7943";" -   "
"2005";"Jujuy";"hectáreas";"3655.44";"850"
"2005";"La Pampa";"hectáreas";"313526";"58290"
"2005";"La Rioja";"hectáreas";"680";"639"
"2005";"Mendoza";"hectáreas";"64985.5";"6360.9"
"2005";"Misiones";"hectáreas";"8966";"1526.5"
"2005";"Neuquén";"hectáreas";"22962.47";"214.19"
"2005";"Río Negro";"hectáreas";"303278.85";"92277.23"
"2005";"Salta";"hectáreas";"61778";"10876"
"2005";"San Juan";"hectáreas";"995.75";" -   "
"2005";"San Luis";"hectáreas";"22562.2";"22314"
"2005";"Santa Cruz";"hectáreas";"9398.12";"57.2"
"2005";"Santa Fe";"hectáreas";"1911";"15"
"2005";"Santiago del Estero";"hectáreas";"8000";"3300"
"2005";"Tierra del Fuego";"hectáreas";"17.3";"8.92"
"2005";"Tucumán";"hectáreas";"2951";" -   "
"2006";"Buenos Aires";"hectáreas";"168086.24";"648.82"
"2006";"Catamarca";"hectáreas";"4856";"0.5"
"2006";"Chaco";"hectáreas";"37606.18";"15943.5"
"2006";"Chubut";"hectáreas";"330.72";"74.54"
"2006";"Córdoba";"hectáreas";"61769";"23498"
"2006";"Corrientes";"hectáreas";"7370";" -   "
"2006";"Entre Ríos";"hectáreas";"4804.9";"344.9"
"2006";"Formosa";"hectáreas";"1691";" -   "
"2006";"Jujuy";"hectáreas";"5875.44";"31.44"
"2006";"La Pampa";"hectáreas";"137390";"34170"
"2006";"La Rioja";"hectáreas";"7678";"7500"
"2006";"Mendoza";"hectáreas";"60499.8";"4906"
"2006";"Misiones";"hectáreas";"2955.71";"23.5"
"2006";"Neuquén";"hectáreas";"7664.52";"600.22"
"2006";"Río Negro";"hectáreas";"141791.43";"14222.13"
"2006";"Salta";"hectáreas";"41162.5";"8060"
"2006";"San Juan";"hectáreas";"656";" -   "
"2006";"San Luis";"hectáreas";"20832";"8440"
"2006";"Santa Cruz";"hectáreas";"3125.52";"1.5"
"2006";"Santa Fe";"hectáreas";"3047";"100"
"2006";"Santiago del Estero";"hectáreas";"15000";"12300"
"2006";"Tierra del Fuego";"hectáreas";"0.76";"0.4"
"2006";"Tucumán";"hectáreas";"2146.8";" -   "
"2007";"Buenos Aires";"hectáreas";"19106.48";"1392.15"
"2007";"Catamarca";"hectáreas";"24754.6";" -   "
"2007";"Chaco";"hectáreas";"26213.1";"3559"
"2007";"Chubut";"hectáreas";"756.42";"47.1"
"2007";"Ciudad Autónoma de Buenos Aires";"hectáreas";"8.02";" -   "
"2007";"Córdoba";"hectáreas";"11369";"4371"
"2007";"Corrientes";"hectáreas";"569";"25"
"2007";"Entre Ríos";"hectáreas";"549.32";"79.5"
"2007";"Formosa";"hectáreas";"3056";"16"
"2007";"Jujuy";"hectáreas";"1498.24";"39.49"
"2007";"La Pampa";"hectáreas";"22255";"7156"
"2007";"La Rioja";"hectáreas";"200";"19"
"2007";"Mendoza";"hectáreas";"16167";"1671.6"
"2007";"Misiones";"hectáreas";"295.5";" -   "
"2007";"Neuquén";"hectáreas";"1153.77";"29.45"
"2007";"Río Negro";"hectáreas";"43544.83";"24.53"
"2007";"Salta";"hectáreas";"36809";"6993"
"2007";"San Juan";"hectáreas";"1346";" -   "
"2007";"San Luis";"hectáreas";"25660";"4884"
"2007";"Santa Cruz";"hectáreas";"9023.83";"2.1"
"2007";"Santa Fe";"hectáreas";"2794";"98"
"2007";"Santiago del Estero";"hectáreas";"4545";" -   "
"2007";"Tierra del Fuego";"hectáreas";"15.53";"1.85"
"2007";"Tucumán";"hectáreas";"861.6";"39.5"
"2008";"Buenos Aires";"hectáreas";"68824.37";"2083.26"
"2008";"Catamarca";"hectáreas";"12544.6";"2840"
"2008";"Chaco";"hectáreas";"2873";"718"
"2008";"Chubut";"hectáreas";"9286.78";"3459.09"
"2008";"Ciudad Autónoma de Buenos Aires";"hectáreas";"2.34";"0.3"
"2008";"Córdoba";"hectáreas";"61541.65";"15603"
"2008";"Corrientes";"hectáreas";"8053";"2880"
"2008";"Entre Ríos";"hectáreas";"77893.1";"2037.1"
"2008";"Formosa";"hectáreas";"4165";"30"
"2008";"Jujuy";"hectáreas";"2646.57";"190.93"
"2008";"La Pampa";"hectáreas";"97486";"41315"
"2008";"La Rioja";"hectáreas";"1016.6";"70.1"
"2008";"Mendoza";"hectáreas";"88526.5";"826.5"
"2008";"Misiones";"hectáreas";"1473.45";"83.1"
"2008";"Neuquén";"hectáreas";"872.37";"135.65"
"2008";"Río Negro";"hectáreas";"20348.51";"7.9"
"2008";"Salta";"hectáreas";"27391";"4428"
"2008";"San Juan";"hectáreas";"1122.75";"120"
"2008";"San Luis";"hectáreas";"24150";"3070"
"2008";"Santa Cruz";"hectáreas";"55298.9";"3.25"
"2008";"Santa Fe";"hectáreas";"5001";"234"
"2008";"Santiago del Estero";"hectáreas";"24633";" -   "
"2008";"Tierra del Fuego";"hectáreas";"7395.38";"4846.28"
"2008";"Tucumán";"hectáreas";"244.6";"19.5"
"2009";"Buenos Aires";"hectáreas";"34077.89";"10031.72"
"2009";"Catamarca";"hectáreas";"54253.4";"7604.95"
"2009";"Chaco";"hectáreas";"3442";"875"
"2009";"Chubut";"hectáreas";"367.83";"106.82"
"2009";"Ciudad Autónoma de Buenos Aires";"hectáreas";"65.47";"5"
"2009";"Córdoba";"hectáreas";"70247";"21884"
"2009";"Corrientes";"hectáreas";"15560";"545"
"2009";"Entre Ríos";"hectáreas";"804";" -   "
"2009";"Formosa";"hectáreas";"1378.31";" -   "
"2009";"Jujuy";"hectáreas";"1668.01";"334.36"
"2009";"La Pampa";"hectáreas";"24926";"12386"
"2009";"La Rioja";"hectáreas";"3980";"100"
"2009";"Mendoza";"hectáreas";"25295.75";"243.5"
"2009";"Misiones";"hectáreas";"1477.6";"248"
"2009";"Neuquén";"hectáreas";"209.47";"29.55"
"2009";"Río Negro";"hectáreas";"14753.95";"1321.61"
"2009";"Salta";"hectáreas";"35051";"4555"
"2009";"San Juan";"hectáreas";"1164.5";" -   "
"2009";"San Luis";"hectáreas";"486563";"37445"
"2009";"Santa Cruz";"hectáreas";"9848.2";"0"
"2009";"Santa Fe";"hectáreas";"3887";"22"
"2009";"Santiago del Estero";"hectáreas";"39540";"8090"
"2009";"Tierra del Fuego";"hectáreas";"35.39";"34.36"
"2009";"Tucumán";"hectáreas";"4993.25";"804"
"2010";"Buenos Aires";"hectáreas";"8670.64";"1450.5"
"2010";"Catamarca";"hectáreas";"15830.6";"564.18"
"2010";"Chaco";"hectáreas";"3917.03";"972.5"
"2010";"Chubut";"hectáreas";"1261.95";"175.61"
"2010";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0.48";" -   "
"2010";"Córdoba";"hectáreas";"10305";"2233"
"2010";"Corrientes";"hectáreas";"820.42";" -   "
"2010";"Entre Ríos";"hectáreas";"1692.2";"801.5"
"2010";"Jujuy";"hectáreas";"27144.97";"24461"
"2010";"La Pampa";"hectáreas";"18391";"1360"
"2010";"La Rioja";"hectáreas";"29271";" -   "
"2010";"Mendoza";"hectáreas";"54196.05";"3712"
"2010";"Misiones";"hectáreas";"546";"3"
"2010";"Neuquén";"hectáreas";"595.24";"5.11"
"2010";"Río Negro";"hectáreas";"645.2";"8.28"
"2010";"Salta";"hectáreas";"3945";"379"
"2010";"San Juan";"hectáreas";"1087.25";" -   "
"2010";"San Luis";"hectáreas";"32325";"9780"
"2010";"Santa Cruz";"hectáreas";"40.75";"3.5"
"2010";"Santa Fe";"hectáreas";"2767";"18"
"2010";"Santiago del Estero";"hectáreas";"5395";"1050"
"2010";"Tierra del Fuego";"hectáreas";"5.96";"2.55"
"2011";"Buenos Aires";"hectáreas";"3354.03";"229.05"
"2011";"Catamarca";"hectáreas";"12723.35";"4165"
"2011";"Chaco";"hectáreas";"8848.06";"2526"
"2011";"Chubut";"hectáreas";"4169.14";"1236.29"
"2011";"Ciudad Autónoma de Buenos Aires";"hectáreas";"7.77";"1.43"
"2011";"Córdoba";"hectáreas";"71293";"24569"
"2011";"Corrientes";"hectáreas";"5876.2";" -   "
"2011";"Entre Ríos";"hectáreas";"2025";"34"
"2011";"Formosa";"hectáreas";"2414.9";"338.4"
"2011";"Jujuy";"hectáreas";"1342.43";"327.26"
"2011";"La Pampa";"hectáreas";"78022";"7300"
"2011";"La Rioja";"hectáreas";"1390";" -   "
"2011";"Mendoza";"hectáreas";"10907.65";"427.3"
"2011";"Misiones";"hectáreas";"502";"14.5"
"2011";"Neuquén";"hectáreas";"10682.69";"671.12"
"2011";"Río Negro";"hectáreas";"15354.72";"4.78"
"2011";"Salta";"hectáreas";"1909.4";"166.75"
"2011";"San Juan";"hectáreas";"20136";"20"
"2011";"San Luis";"hectáreas";"18600";"4218"
"2011";"Santa Cruz";"hectáreas";"62.64";"1.61"
"2011";"Santa Fe";"hectáreas";"2490.29";"61.7"
"2011";"Santiago del Estero";"hectáreas";"10953.62";"7388.29"
"2011";"Tierra del Fuego";"hectáreas";"96.62";"79.77"
"2012";"Buenos Aires";"hectáreas";"98.13";"0.3"
"2012";"Catamarca";"hectáreas";"4651.49";"3.6"
"2012";"Chaco";"hectáreas";"7770.9";"4317"
"2012";"Chubut";"hectáreas";"4698.38";"3305.65"
"2012";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0.48";"0"
"2012";"Córdoba";"hectáreas";"11130";"4036"
"2012";"Corrientes";"hectáreas";"3556.82";" -   "
"2012";"Entre Ríos";"hectáreas";"2422.8";"1590.8"
"2012";"Formosa";"hectáreas";"5959.2";" -   "
"2012";"Jujuy";"hectáreas";"8674.78";"1503.47"
"2012";"La Pampa";"hectáreas";"30202";"14644"
"2012";"La Rioja";"hectáreas";"391";"6"
"2012";"Mendoza";"hectáreas";"7006.25";"259.6"
"2012";"Misiones";"hectáreas";"2143";"220"
"2012";"Neuquén";"hectáreas";"16057.55";"396.98"
"2012";"Río Negro";"hectáreas";"3093.47";"375.55"
"2012";"Salta";"hectáreas";"1797.57";"114.85"
"2012";"San Juan";"hectáreas";"635.5";"3"
"2012";"San Luis";"hectáreas";"50201";"5841"
"2012";"Santa Cruz";"hectáreas";"20499.02";"1000"
"2012";"Santa Fe";"hectáreas";"2530.5";"5"
"2012";"Santiago del Estero";"hectáreas";"8970";"5510"
"2012";"Tierra del Fuego";"hectáreas";"2575.85";"2575.18"
"2012";"Tucumán";"hectáreas";"1992";"58"
"2013";"Buenos Aires";"hectáreas";"1967.87";"37.9"
"2013";"Catamarca";"hectáreas";"6507.39";"158.85"
"2013";"Chaco";"hectáreas";"8852.02";"710"
"2013";"Chubut";"hectáreas";"106.92";"68.64"
"2013";"Ciudad Autónoma de Buenos Aires";"hectáreas";"32.33";" -   "
"2013";"Córdoba";"hectáreas";"105179";"25620"
"2013";"Corrientes";"hectáreas";"1103.21";"154"
"2013";"Entre Ríos";"hectáreas";"11840";"1185"
"2013";"Formosa";"hectáreas";"11292.77";"764"
"2013";"Jujuy";"hectáreas";"32041.78";"18307.62"
"2013";"La Pampa";"hectáreas";"83360";"44756"
"2013";"La Rioja";"hectáreas";"506";" -   "
"2013";"Mendoza";"hectáreas";"77017.95";"1776.3"
"2013";"Misiones";"hectáreas";"870";"8"
"2013";"Neuquén";"hectáreas";"2449.3";"1432.31"
"2013";"Río Negro";"hectáreas";"1732.12";"60.97"
"2013";"Salta";"hectáreas";"18146.14";" -   "
"2013";"San Juan";"hectáreas";"451.5";"80"
"2013";"San Luis";"hectáreas";"54693";"1617"
